dzo_to_eng,eng_to_dzo
"This causes the skater to turn. If the skater is bent over, the skater is bent over, and if he turns to the side, he turns to the side.",འ་ནཱི་གིས་འཁྱེག་བཤུད་མི་འདི་འཁོར་བར་བཟོཝ་ཨིན།འཁྱེག་བཤུད་འདི་གཡས་ཁ་ཐུག་རྐྱབ་པ་ཅིན་འཁྱེག་བཤུད་འདི་གཡས་ཁ་ཐུག་རྐྱབ་ཨིན།འཁྱེག་བཤུད་འདི་གཡོན་ཁ་ཐུག་རྐྱབ་པ་ཅིན་འཁྱེག་བཤུད་འདི་གཡོན་ཁ་ཐུག་རྐྱབ་ཨིན།
"To recover their past energy, they must recover the energy they received from light.",ཁོང་རའི་ཧེ་མ་གི་ནུས་ཤུགས་གནས་ཚད་ལུ་ལོག་འོང་ནི་གི་དོན་ལུ་ ཁོང་འོད་ལས་ཐོབ་མི་ནུས་ཤུགས་ལྷག་ལུས་འདི་བསལ་དགོ།
They did this by inducing lightning.,ཁོང་གིས་འདི་འོད་ཀྱི་ཕྲ་དུམ་ཆུང་ཀུ་ཅིག་གློག་བརྙན་ཟེར་སླབ་སྟེ་བཏོན་ཏེ་འབདཝ་ཨིན།
"In this sequence of protons, the atoms induced by the intense light are generated by photons, and such light is a type of radiation that scientists say causes it to emit light.",ཚན་རིག་པ་ཚུ་གིས་ཨ་ནཱི་བྱ་རིམ་འདི་ལུ་གློག་མེ་སྤར་བའི་སྐུལ་སློང་ཟེར་སླབ་མས། ག་ཅི་སྦེ་ཟེར་བ་ཅིན་ རྡུལ་ཕྲན་ཚུ་འོད་གསལ་གྱིས་སྐུལ་སློང་འབདཝ་ལས་འོད་ཀྱི་གློག་མེ་སྤར་ནི་ལུ་རྒྱུ་མཚན་འབྱུང་སྟེ་ཡོདཔ་ལས་འོད་འདི་གློག་མེ་གི་རིགས་ཅིག་ཨིན་མས།
"Although the photons are actually smaller than they appear in the picture, the next image shows the atom producing the photons.",པར་ཤུལ་མ་འདི་དྲོད་ཕྲན་ཚུ་གིས་གློག་བརྙན་བཏོན་མི་འདི་སྟོན་མས། ངོ་མ་ནང་ལུ་གློག་བརྙན་ཚུ་པར་ནང་ཡོད་མི་ལས་གནམ་མེད་ས་མེད་ཆུང་བས།
Photons are smaller than the materials from which they form atoms.,ཕོཊོན་ཚུ་ཡང་ཨ་ཊོམ་བཟོ་མི་ཅ་ཆས་ལས་ཆུང་དྲགས་ཨིན།
"After working the strain in the glass for hundreds of hours, the glass cannot be worked by burning.",ཆུ་ཚོད་བརྒྱ་ཐམ་གྱི་ལཱ་འབད་བའི་ཤུལ་ལས་ གློག་མེ་ནང་ཡོད་པའི་ཧམ་འདི་མཐའ་མཇུག་ལུ་འཚིག་འགྱོ་སྟེ་ གློག་མེ་འདི་ལཱ་མི་འབད་བས།
"And glazing should be done without applying soap, but carefully.",གློག་མེ་འདི་ཤུལ་ཚབ་འབད་དགོཔ་ཨིན། གློག་མེ་འདི་ཚབ་རྐྱབ་ད་དྲན་པ་བཏོན་དགོ།
"First, the light switch must be stopped or the electrical cord cut off.",དང་པ་ར་ འོད་ཆས་ཀྱི་ལྡེ་མིག་འདི་བསད་དགོ་ ཡང་ན་ ཀེ་བ་འདི་མཐུད་འབྲེལ་མེདཔ་བཟོ་དགོ།
"Doing this also means turning on the switch or turning on the glass steel base while the glass is half on the switch, so that the electricity runs through the switch, the steel storing the glass will be electric.",འདི་གློག་མེ་གི་ལྕགས་ཀྱི་ཆ་ཤས་འདི་སྡོད་སའི་ས་གོ་ནང་གློག་མེ་གིས་ཐིམ་ཐིམ་འགྱོ་མི་འདི་ཁྱོད་ཀྱིས་ས་གོ་གི་ནང་ན་དང་ཡང་ན་གློག་མེ་གི་ལྕགས་ཀྱི་གཞི་འདི་ ད་ལྟོ་ཡང་ཆ་ཤས་ཅིག་ནང་ཡོད་པའི་སྐབས་ཁྱོད་ཀྱིས་གློག་མེ་གིས་ཤུགས་ཤུགས་ཤུགས་ཤུགས་ཤུགས་ཤུགས་སྦེ་ཕོག་ནི་མས།
"An important part of the circulatory system is the spinal cord, which pumps blood to the body.",ཁྲག་བླུགས་མི་ཁྲག་འཁོར་ལམ་གྱི་ཡན་ལག་གཙོ་བོ་འདི་སེམས་ཨིན།
"Blood flows from the artery, the blood vessel passes through Austria and returns to the artery through the artery called the vena.",ཁྲག་འདི་སེམས་ལས་ཐབ་ཅ་གི་ནང་འགྱོ་ཞིནམ་ལས་སེམས་ནང་ཐབ་ཅ་གི་ནང་ལོག་འོང་ནི་ཡོད།ཐབ་ཆུང་ཤོས་ལུ་སྐྱ་ཚིགས་ཟེར་སླབ་ཨིན།
The broken crocodile tooth could break not only the leaves but also the hard branches and roots.,ཊི་སི་ཊོཔ་གི་སོ་གིས་ཤོག་ལེབ་རྐྱངམ་གཅིག་མེན་པར་གནམ་མེད་ས་མེད་སྲ་ཀྲག་ཡོད་པའི་ཞལ་ལག་དང་རྩ་བ་ཡང་བརྫིས་བཏང་ཚུགས་ནུག།
"One archaeologist thinks that the Chryserbates were the sequester, a type of tree that was popular in the Cretaceous period.",ཚན་རིག་པ་ལ་ལུ་ཅིག་གིས་ ཊི་སི་ར་ཊོཔ་གིས་ ཙའི་ཀེཌ་ཟ་ནུག་ཟེར་མནོ་དོ་ཡོདཔ་ད་ འདི་ ཀེ་རེ་ཊི་ཨསི་ནང་ སྤྱིར་བཏང་སྦེ་ཡོད་མི་ ཤིང་གི་རིགས་ཅིག་ཨིན།
"These trees look like small tallies with sharp, hairy, and untidy trunk.",ཤིང་ཚུ་འདི་ཤིང་གི་ཤིང་ཆུང་ཀུ་ཅིག་བཟུམ་སྦེ་མཐོང་དོ་ཡོད་མི་དང་ཚེར་ཤིང་རྣོན་པོ་གི་གཙུག་རྒྱན་ཅིག་འདུག།
Crisperbits use their strong jaws to break the scales before eating the tree.,ཊི་སི་ཊོཔསི་གིས་ཁོ་གི་ལྕུག་ཤུགས་ཅན་འདི་ཤིང་གི་གདུགས་མ་ཟ་བའི་ཧེ་མ་ཚེར་ཚུ་ཕུད་ནི་ལུ་ལག་ལེན་འཐབ་རུང་བཏུབ་ནུག།
"Other experts suggest that although sloths, the modern South American species of bats, and other lizards (the dinosaur genus) can eat poisonous leaves and fruit, this plant is so poisonous that dinosaur species are unlikely to eat it.",ཚན་རིག་པ་གཞན་ཚུ་གིས་ ཤིང་ཚུ་གནམ་མེད་ས་མེད་དུག་དྲགས་འདུག་ཟེར་མནོ་སྟེ་ ད་རེས་ནངས་པར་སེངྒེ་དང་པད་མོ་བཟུམ་སེམས་ཅན་གཞན་ཚུ་ (དུག་ཅན་གྱི་རིགས་ཀྱི་རིགས་རྒྱུད་ཅིག་) ཙེ་དུག་ཅན་གྱི་འདབ་མ་ཡང་ན་ཤིང་འབྲས་ཟ་ཚུགས་རུང་ཡང་ ཌའི་ནོ་སཱར་གྱིས་ཟ་ནི་བཟུམ་ཅིག་མིན་འདུག།
"How does the gravity of the ego pull the trigger? If you stood on the ego, you would weigh nearly as much as the world's produced.",ཨོ་གི་ཤུགས་ཀྱིས་ང་ལུ་ག་དེ་སྦེ་འཐེན་འོང་ག? ཁྱོད་ཨོ་གི་ངོས་ངོས་ངོས་སུ་སྡོད་པ་ཅིན་ཁྱོད་ཀྱིས་འཛམ་གླིང་ལུ་ལྗིད་ཚད་ཉུང་སུ་སྦེ་བསྐྱེདཔ་འོང་།
"The man who produced 200 pounds (90 kg) of gold in the world would not have contracted 36 pounds (16 kg) of gold, but the force of gravity would have contracted you to the minimum.",འཛམ་གླིང་ནང་ལྗིད་ཚད་ཀི་ལོ་ ༢༠༠ ཡོད་མི་མི་གིས་ཨེ་ཨོ་ལུ་ཀི་ལོ་ ༡༦ དེ་ཅིག་ལྗིད་འོང་། དེ་འབདཝ་ལས་དབང་ཤུགས་ཀྱིས་ཁྱོད་ལུ་ཉུང་སུ་ཅིག་འཐེན་འོང་།
"The sun lacks the rigid outer layer that the earth has, which we can survive in. The sun is composed entirely of gas, fire and plasma.",ཉིམ་ལུ་ཁྱོད་ཀྱིས་ལོང་ཚུགས་པའི་འཛམ་གླིང་བཟུམ་གི་ཁུག་ཅིག་མེད། ཉིམ་ག་ར་རླངས་མེ་དང་པཱལ་ཟམ་ལས་བཟོ་བཟོཝ་ཨིན།
"The farther we go through the sun, the less greenhouse gases we see.",ཁྱོད་ཉིམ་གྱི་ལྟེ་བ་ལས་ཐག་རིང་སར་འགྱོ་བའི་བསྒང་ལས་རླངས་འདི་སྐྱོ་དྲགས་འགྱོ་དེས།
"The appearance we see in the sun is called the photosphere, which means the ""hole of fire"".",ང་བཅས་ཀྱིས་ཉིམ་ལུ་བལྟ་བའི་སྐབས་མཐོང་མི་ཕྱི་ཁར་གི་ཆ་ཤས་འདི་ལུ་འོད་ཤེལ་ཟེར་ཟེར་མི་འདི་འོད་ཤེལ་ཟེར་ཟེར་བའི་དོན་ཨིན་མས།
"Nearly three thousand years later, in 1610, the Italian astronomer Galileo Galilei used the telescope to observe the evolution of the moon, just as it did in Venice.",ལོ་སྟོང་ཕྲག་གསུམ་གྱི་ཤུལ་ལས་ ༡༦༡༠ ལུ་ཨི་ཊ་ལིའི་གནམ་རིག་པ་མཁས་མཆོག་ ག་ལི་ལི་ ག་ལི་ལི་གིས་ གཟའ་སྐར་ལུ་ཟླཝ་བཟུམ་སྦེ་རིམ་པ་ཡོད་མི་འདི་ལྟ་ནིའི་དོན་ལུ་མཐོང་སྣུམ་ལག་ལེན་འཐབ་ནུག།
This evolution occurs mainly because the sun's rays only reach the direction of Venus (or the moon). The evolution of Venus supports the Copernican theory that the planets revolve around the sun.,ཚབས་རིམ་ཚུ་འབྱུང་ནི་དེ་གི་དོན་ལས་ཉིམ་ལུ་གདོང་ཐུག་ཡོད་པའི་ཝ་ནཱས་ཀྱི་ཕྱོགས་རྐྱངམ་གཅིག་འོད་བྱིན་ནི་འདི་གིས་ཨིན།ཝ་ནཱས་ཀྱི་ཚབས་རིམ་གྱིས་ཀོ་བེ་རནི་ཀུའི་ལྟ་གྲུབ་ལུ་ལྟ་བ་ཅིན་སྐར་མ་ཚུ་ཉིམ་གྱི་མཐའ་འཁོར་ལུ་འགྱོ་ནི་ཨིན་མས།
"Then, a few years later, in 1639, the English astronomer Jeremy M. Hodges discovered the transit of Venice.",དེ་ལས་ལོ་དག་པ་ཅིག་ཤུལ་ལས་༡༦༣༩ ལུ་ཨིང་ལིཤ་གི་གནམ་རིག་པ་ཡེ་རི་མི་ཡ་ཧོར་ོཀ་ཟེར་མི་གིས་ གཟའ་སྐར་གི་འགྲུལ་ལམ་ཅིག་མཐོང་ནུག།
Long remained in peace with England after it restored the colony to its original status.,ཨིང་ལེནཌ་གིས་ཌེ་ནེལཝ་ལོག་སྟེ་དབང་བཟུང་འབད་བའི་ཤུལ་ལས་དུས་ཡུན་རིངམོ་གི་ཞི་བདེའི་ཉམས་མྱོང་འབད་ནུག།
